path	filename
test_script\folder01\folder0a\folder1a	test01.txt
test_script\folder01\folder0a\folder1a	test02.txt
test_script\folder01\folder0a\folder1b	test04.txt
test_script\folder01\folder0b	test04.txt
test_script\folder01\folder0c\folder1a	test01.txt
test_script\folder01\folder0c\folder1a	test02.txt
test_script\folder01\folder0c\folder1b	test01.txt
test_script\folder01\folder0c\folder1b	test02.txt
test_script\folder01\folder0c\folder1d	test01.txt
test_script\folder01\folder0c\folder1d	test04.txt
test_script\folder01\folder0c\folder1d	test06.txt
test_script\folder03	test02.txt
test_script\folder03	test06.txt
test_script\folder03\folder0b	test06.txt
test_script\folder03\folder0d\folder1f	test01.txt
test_script\folder04	test01.txt
test_script\folder04	test06.txt
