create_date	exection_count	elapsed_time_mean	elapsed_time_90perile	elapsed_time_max
2016-06-22 18:50:00	13	18.0769230769	30.0	30.0
2016-06-22 19:00:00	5	17.4	25.6	26.0
2016-06-22 19:10:00	0	0.0	0.0	0.0
2016-06-22 19:20:00	1	23.0	23.0	23.0
2016-06-22 19:30:00	0	0.0	0.0	0.0
2016-06-22 19:40:00	1	27.0	27.0	27.0
2016-06-22 19:50:00	5	22.6	27.6	28.0
2016-06-22 20:00:00	0	0.0	0.0	0.0
2016-06-22 20:10:00	1	11.0	11.0	11.0
2016-06-22 20:20:00	0	0.0	0.0	0.0
2016-06-22 20:30:00	1	22.0	22.0	22.0
2016-06-22 20:40:00	0	0.0	0.0	0.0
2016-06-22 20:50:00	4	18.25	26.1	30.0
2016-06-22 21:00:00	1	9.0	9.0	9.0
2016-06-22 21:10:00	0	0.0	0.0	0.0
2016-06-22 21:20:00	1	7.0	7.0	7.0
2016-06-22 21:30:00	1	12.0	12.0	12.0
2016-06-22 21:40:00	1	3.0	3.0	3.0
2016-06-22 21:50:00	0	0.0	0.0	0.0
2016-06-22 22:00:00	1	1.0	1.0	1.0
2016-06-22 22:10:00	1	16.0	16.0	16.0
2016-06-22 22:20:00	1	9.0	9.0	9.0
2016-06-22 22:30:00	0	0.0	0.0	0.0
2016-06-22 22:40:00	1	7.0	7.0	7.0
2016-06-22 22:50:00	1	14.0	14.0	14.0
2016-06-22 23:00:00	1	7.0	7.0	7.0
2016-06-22 23:10:00	0	0.0	0.0	0.0
2016-06-22 23:20:00	1	2.0	2.0	2.0
2016-06-22 23:30:00	1	22.0	22.0	22.0
2016-06-22 23:40:00	1	18.0	18.0	18.0
