	create_date	elapsed_time
0	2016/6/22 18:50:22	5.0
1	2016/6/22 18:50:22	30.0
2	2016/6/22 18:51:29	22.0
3	2016/6/22 18:52:36	16.0
4	2016/6/22 18:53:43	30.0
5	2016/6/22 18:54:50	15.0
6	2016/6/22 18:55:22	19.0
7	2016/6/22 19:00:22	15.0
8	2016/6/22 19:50:22	26.0
9	2016/6/22 19:50:22	11.0
10	2016/6/22 19:50:52	27.0
11	2016/6/22 20:50:00	30.0
12	2016/6/22 20:50:23	15.0
13	2016/6/22 20:50:24	17.0
14	2016/6/22 18:55:57	1.0
15	2016/6/22 18:57:04	17.0
16	2016/6/22 18:58:12	12.0
17	2016/6/22 18:59:19	29.0
18	2016/6/22 19:00:26	18.0
19	2016/6/22 19:03:31	25.0
20	2016/6/22 19:05:37	3.0
21	2016/6/22 19:27:43	23.0
22	2016/6/22 19:49:49	27.0
23	2016/6/22 20:11:55	11.0
24	2016/6/22 20:34:01	22.0
25	2016/6/22 21:09:21	9.0
26	2016/6/22 21:22:28	7.0
27	2016/6/22 21:35:35	12.0
28	2016/6/22 21:48:42	3.0
29	2016/6/22 22:01:49	1.0
30	2016/6/22 22:14:56	16.0
31	2016/6/22 22:28:03	9.0
32	2016/6/22 22:41:10	7.0
33	2016/6/22 22:54:17	14.0
34	2016/6/22 23:07:24	7.0
35	2016/6/22 20:56:07	11.0
36	2016/6/22 18:50:22	9.0
37	2016/6/22 18:55:22	30.0
38	2016/6/22 19:00:22	26.0
39	2016/6/22 19:50:22	21.0
40	2016/6/22 19:50:22	28.0
41	2016/6/22 23:20:31	2.0
42	2016/6/22 23:33:38	22.0
43	2016/6/22 23:46:45	18.0
