start_date	exection_count	elapsed_time
2016-08-06 00:45:00	1	63.0
2016-08-06 00:48:00	3	26.3333333333
2016-08-06 00:51:00	2	137.5
2016-08-06 00:54:00	2	2024.5
2016-08-06 00:57:00	2	3875.0
2016-08-06 01:00:00	0	0.0
2016-08-06 01:03:00	0	0.0
2016-08-06 01:06:00	0	0.0
2016-08-06 01:09:00	0	0.0
2016-08-06 01:12:00	0	0.0
2016-08-06 01:15:00	0	0.0
2016-08-06 01:18:00	0	0.0
2016-08-06 01:21:00	0	0.0
2016-08-06 01:24:00	0	0.0
2016-08-06 01:27:00	0	0.0
2016-08-06 01:30:00	0	0.0
2016-08-06 01:33:00	0	0.0
2016-08-06 01:36:00	0	0.0
2016-08-06 01:39:00	0	0.0
2016-08-06 01:42:00	0	0.0
2016-08-06 01:45:00	0	0.0
2016-08-06 01:48:00	0	0.0
2016-08-06 01:51:00	0	0.0
2016-08-06 01:54:00	0	0.0
2016-08-06 01:57:00	1	120.0
